Trait	nSNP	overall_p	mscomp	First_Author	Year	Reference	Trait_ID_2.0	Trait_long	Trait_class	N0	N1	N	Population	FDR.overall	sig.overall
ERYC_Ferreira_19853236_1	1332	1.33952336055136e-18	PC10 (2e-12)	Ferreira	2009	19853236	ERYC	Erythrocyte count	BC	6015	0	6015	European (Dutch + Australian)	1.65579970957043e-18	Y
ERYC_Kanai_29403010_1	1515	1.12000871749604e-278	PC10 (2e-123)	Kanai	2018	29403010	ERYC	Erythrocyte count	BC	108794	0	108794	East Asian (Japanese)	1.95452501680682e-278	Y
ESCAN_Sakaue_doi1011012020102320213652_1	1560	0.613767212727472	PC10 (9e-02)	Sakaue	2021	doi1011012020102320213652	ESCAN	Esophageal cancer	CAN	159201	1388	160589	East Asian (Japanese)	0.884704049415064	N
ESEL_Folkersen_33067605_1	1661	0.0303671491039239	PC2 (1e-02)	Folkersen	2020	33067605	ESEL	E-selectin (CD62E, ELAM-1, LECAM2) levels	BMK	21758	0	21758	European	0.0995258822244732	N
ESM1_Folkersen_33067605_1	1661	0.0731282776826044	PC8 (6e-03)	Folkersen	2020	33067605	ESM1	Endothelial cell-specific molecule 1 (ESM-1) levels	BMK	21758	0	21758	European	0.203000901982312	N
ESOVAR_Sakaue_doi1011012020102320213652_1	1560	0.400000566461245	PC10 (6e-02)	Sakaue	2021	doi1011012020102320213652	ESOVAR	Esophageal varix	OTH	177516	264	177780	East Asian (Japanese)	0.822838134237816	N
FABP4_Folkersen_33067605_1	1661	0.708455656420381	PC2 (6e-02)	Folkersen	2020	33067605	FABP4	Fatty acid-binding protein, adipocyte (FABP4) levels	BMK	21758	0	21758	European	1	N
FAS_Folkersen_33067605_1	1661	0.941352395615453	PC4 (2e-01)	Folkersen	2020	33067605	FAS	Tumor necrosis factor receptor superfamily member 6 (TNFRS6, FAS) levels	BMK	21758	0	21758	European	1	N
FEBSEIZ_Sakaue_doi1011012020102320213652_1	1560	0.353289487924401	PC14 (1e-01)	Sakaue	2021	doi1011012020102320213652	FEBSEIZ	Febrile seizure	OTH	175272	574	175846	East Asian (Japanese)	0.815714359290842	N
FGF19_Hoglund_31727947_1	1660	0.900815139520441	PC13 (1e-01)	Hoglund	2020	31727947	FGF19	Fibroblast growth factor 19 (FGF19) levels	BMK	871	0	871	European (Swedish)	1	N
FGF21_Hoglund_31727947_1	1660	0.182266866706748	PC6 (5e-02)	Hoglund	2020	31727947	FGF21	Fibroblast growth factor 21 (FGF21) levels	BMK	849	0	849	European (Swedish)	0.420373335772371	N
FGF23_Folkersen_33067605_1	1661	0.626621079909088	PC6 (1e-01)	Folkersen	2020	33067605	FGF23	Fibroblast growth factor 23 (FGF23) levels	BMK	21758	0	21758	European	0.952016946117875	N
FGF23_Hoglund_31727947_1	1660	0.627806450687969	PC4 (1e-02)	Hoglund	2020	31727947	FGF23	Fibroblast growth factor 23 (FGF23) levels	BMK	849	0	849	European (Swedish)	0.952016946117875	N
FGF23_Hoglund_31727947_2	1660	0.594957227995206	PC6 (9e-02)	Hoglund	2020	31727947	FGF23	Fibroblast growth factor 23 (FGF23) levels	BMK	936	0	936	European (Swedish)	0.925390203492142	N
FGF5_Hoglund_31727947_1	1660	0.46525564885155	PC7 (6e-02)	Hoglund	2020	31727947	FGF5	Fibroblast growth factor 5 (FGF5) levels	BMK	567	0	567	European (Swedish)	0.785655778893104	N
FGFB_AholaOlli_27989323_1	1660	0.0104698211999973	PC8 (2e-03)	AholaOlli	2017	27989323	FGFB	Basic fibroblast growth factor (FGFBasic) levels	BMK	7565	0	7565	European (Finnish)	0.0393975494044343	N
FLT3L_Hoglund_31727947_1	1660	0.611550545017252	PC14 (7e-02)	Hoglund	2020	31727947	FLT3L	FMS-like tyrosine kinase 3 ligand (FLT3L) levels	BMK	871	0	871	European (Swedish)	0.935783866218374	N
FLT3L_Hoglund_31727947_2	1660	0.416766863658992	PC14 (4e-02)	Hoglund	2020	31727947	FLT3L	FMS-like tyrosine kinase 3 ligand (FLT3L) levels	BMK	928	0	928	European (Swedish)	0.722585552009447	N
FNPAL_Sakaue_doi1011012020102320213652_1	1560	0.304044065734583	PC2 (2e-02)	Sakaue	2021	doi1011012020102320213652	FNPAL	Facial nerve palsy (Bell's palsy)	OTH	178191	343	178534	East Asian (Japanese)	0.78202703309266	N
FOODAL_Sakaue_doi1011012020102320213652_1	1560	0.39435933159602	PC11 (1e-01)	Sakaue	2021	doi1011012020102320213652	FOODAL	Food allergy	IMD	165939	3777	169716	East Asian (Japanese)	0.627502584237692	N
FST_Folkersen_33067605_1	1661	0.0234514051454656	PC10 (3e-02)	Folkersen	2020	33067605	FST	Follistatin (FS, FST) levels	BMK	21758	0	21758	European	0.0799551262677619	N
GAL3_Folkersen_33067605_1	1661	0.209400456674788	PC7 (3e-02)	Folkersen	2020	33067605	GAL3	Galectin-3 levels	BMK	21758	0	21758	European	0.462501878220836	N
GAL_Folkersen_33067605_1	1661	0.818172769426079	PC3 (2e-01)	Folkersen	2020	33067605	GAL	Galanin peptide (GAL) levels	BMK	21758	0	21758	European	1	N
GASCAN_Sakaue_doi1011012020102320213652_1	1560	0.426140467771505	PC2 (3e-02)	Sakaue	2021	doi1011012020102320213652	GASCAN	Gastric cancer	CAN	159201	7921	167122	East Asian (Japanese)	0.84419716877647	N
GASTUL_Sakaue_doi1011012020102320213652_1	1560	0.67380357770207	PC11 (5e-02)	Sakaue	2021	doi1011012020102320213652	GASTUL	Gastric ulcer	OTH	161227	12650	173877	East Asian (Japanese)	0.899449426979042	N
GBP_Sakaue_doi1011012020102320213652_1	1560	0.878271326067152	PC13 (1e-01)	Sakaue	2021	doi1011012020102320213652	GBP	Gall bladder polyp	OTH	167459	843	168302	East Asian (Japanese)	0.952171578404678	N
GCSF_AholaOlli_27989323_1	1660	0.023338376064763	PC8 (1e-02)	AholaOlli	2017	27989323	GCSF	Granulocyte colony-stimulating factor (GCSF) levels	BMK	7904	0	7904	European (Finnish)	0.0799551262677619	N
GDF15_Folkersen_33067605_1	1661	0.56817775939596	PC2 (1e-02)	Folkersen	2020	33067605	GDF15	Growth differentiation factor-15 (GDF15) levels	BMK	21758	0	21758	European	0.900914020608882	N
GDNF_Hoglund_31727947_1	1660	0.487743740900908	PC2 (3e-02)	Hoglund	2020	31727947	GDNF	Glial cell-derived neurotrophic factor (GDNF) levels	BMK	477	0	477	European (Swedish)	0.802093683020712	N
GERD_Sakaue_doi1011012020102320213652_1	1560	0.159843592068263	PC9 (2e-02)	Sakaue	2021	doi1011012020102320213652	GERD	Gastroesophageal reflux disease	OTH	177516	948	178464	East Asian (Japanese)	0.64242320024802	N
GGT_Sakaue_doi1011012020102320213652_1	1562	0.0352946194688727	PC5 (1e-02)	Sakaue	2021	doi1011012020102320213652	GGT	γ-glutamyl transpeptidase levels	BMK	133471	0	133471	East Asian (Japanese)	0.114201698663614	N
GGT_SinnottArmstrong_33462484_1	1640	8.00848566583424e-61	PC5 (7e-27)	SinnottArmstrong	2021	33462484	GGT	γ-glutamyl transpeptidase levels	BMK	363026	0	363026	Trans-ethnic	1.35610357274793e-59	Y
GH_Folkersen_33067605_1	1661	0.407627818878468	PC11 (1e-01)	Folkersen	2020	33067605	GH	Growth hormone (GH) levels	BMK	21758	0	21758	European	0.72151544247478	N
GLAU_Kubo_BBJ_1	1556	0.0249883095999299	PC13 (2e-03)	Kubo	2020	BBJ	GLAU	Glaucoma	OTH	206692	5761	212453	East Asian (Japanese)	0.281240974712937	N
GLAU_Sakaue_doi1011012020102320213652_1	1560	0.016548908063865	PC13 (2e-03)	Sakaue	2021	doi1011012020102320213652	GLAU	Glaucoma	OTH	168903	8448	177351	East Asian (Japanese)	0.208770840190297	N
GLUCOCOR_Sakaue_doi1011012020102320213652_1	1560	0.143577535740488	PC6 (2e-02)	Sakaue	2021	doi1011012020102320213652	GLUCOCOR	Glucocorticoids	OTH	165624	13102	178726	East Asian (Japanese)	0.618661132665401	N
GLU_Sakaue_doi1011012020102320213652_1	1562	0.182878951192311	PC1 (8e-02)	Sakaue	2021	doi1011012020102320213652	GLU	Glucose levels	BMK	133336	0	133336	East Asian (Japanese)	0.420373335772371	N
GLU_SinnottArmstrong_33462484_1	1640	2.82272014187795e-29	PC8 (2e-12)	SinnottArmstrong	2021	33462484	GLU	Glucose levels	BMK	332079	0	332079	Trans-ethnic	2.867883664148e-28	Y
GOIT_Sakaue_doi1011012020102320213652_1	1560	0.138617083460245	PC9 (1e-02)	Sakaue	2021	doi1011012020102320213652	GOIT	Goiter	OTH	172656	1127	173783	East Asian (Japanese)	0.616792293846362	N
GOUT_Koettgen_23263486_1	1652	0.365629510559684	PC2 (3e-02)	Koettgen	2013	23263486	GOUT	Gout	IMD	67259	2115	69374	European	0.592976065202564	N
GRAVD_Kubo_BBJ_1	1556	0.346590034874724	PC2 (1e-01)	Kubo	2020	BBJ	GRAVD	Graves' disease	IMD	210277	2176	212453	East Asian (Japanese)	0.576889992258587	N
GRAVD_Okada_UP_1	1556	0.346590034874724	PC2 (1e-01)	Okada	2015	UP	GRAVD	Graves' disease	IMD	210277	2176	212453	East Asian (Japanese)	0.576889992258587	N
GRAVD_Okada_UP_2	1551	0.241304705157565	PC4 (4e-02)	Okada	2015	UP	GRAVD	Graves' disease	IMD	101527	1579	103106	East Asian (Japanese)	0.462500684885333	N
GRAVD_Okada_UP_3	1551	0.142758519720297	PC9 (6e-03)	Okada	2015	UP	GRAVD	Graves' disease	IMD	108750	597	109347	East Asian (Japanese)	0.333921743247193	N
GRAVD_Sakaue_doi1011012020102320213652_1	1560	0.506625063843792	PC2 (2e-01)	Sakaue	2021	doi1011012020102320213652	GRAVD	Graves' disease	IMD	172656	2809	175465	East Asian (Japanese)	0.724387490580268	N
GROA_AholaOlli_27989323_1	1660	0.000184381952372279	PC11 (6e-04)	AholaOlli	2017	27989323	GROA	C-X-C motif chemokine, Growth regulated oncogene-α (CXCL1, GROa) levels	BMK	3505	0	3505	European (Finnish)	0.000955775834746099	Y
GROA_Folkersen_33067605_1	1661	6.22985325297535e-07	PC3 (2e-07)	Folkersen	2020	33067605	GROA	C-X-C motif chemokine, Growth regulated oncogene-α (CXCL1, GROa) levels	BMK	21758	0	21758	European	4.2196872700153e-06	Y
GROA_Hoglund_31727947_1	1660	0.0740803831483388	PC1 (2e-02)	Hoglund	2020	31727947	GROA	C-X-C motif chemokine, Growth regulated oncogene-α (CXCL1, GROa) levels	BMK	850	0	850	European (Swedish)	0.204335703814917	N
GROA_Hoglund_31727947_2	1660	0.0645488998005196	PC12 (5e-02)	Hoglund	2020	31727947	GROA	C-X-C motif chemokine, Growth regulated oncogene-α (CXCL1, GROa) levels	BMK	936	0	936	European (Swedish)	0.183189056417117	N
GROA_Reales_up_1	1660	0.00355765689903156	PC11 (1e-03)	Reales	2020	up	GROA	C-X-C motif chemokine, Growth regulated oncogene-α (CXCL1, GROa) levels	BMK	4441	0	4441	European (Finnish + Swedish)	0.0149362785513061	N
HASHID_Sakaue_doi1011012020102320213652_1	1560	0.392071269885221	PC4 (6e-03)	Sakaue	2021	doi1011012020102320213652	HASHID	Hashimoto's disease	IMD	172656	537	173193	East Asian (Japanese)	0.627502584237692	N
HBA1C_Sakaue_doi1011012020102320213652_1	1562	1.14469243637009e-08	PC12 (1e-02)	Sakaue	2021	doi1011012020102320213652	HBA1C	Glycated Hemoglobin (HbA1c) levels	BMK	71221	0	71221	East Asian (Japanese)	8.30719653822865e-08	Y
HBA1C_SinnottArmstrong_33462484_1	1640	0	PC7 (0e+00)	SinnottArmstrong	2021	33462484	HBA1C	Glycated Hemoglobin (HbA1c) levels	BMK	345814	0	345814	Trans-ethnic	0	Y
HBC_Chen_32888493_1	1661	8.18459187342565e-10	PC10 (6e-11)	Chen	2020	32888493	HBC	Hemoglobin concentration	BC	8545	0	8545	African	9.10535845918604e-10	Y
HBC_Chen_32888493_2	1661	0	PC7 (0e+00)	Chen	2020	32888493	HBC	Hemoglobin concentration	BC	618542	0	618542	European (Inc. UKBB)	0	Y
HBC_Chen_32888493_4	1660	1.49793829195426e-25	PC10 (3e-17)	Chen	2020	32888493	HBC	Hemoglobin concentration	BC	9302	0	9302	Latin American (Hispanic American / Latinos)	1.96053688211661e-25	Y
HBC_Chen_32888493_5	1661	0	PC7 (0e+00)	Chen	2020	32888493	HBC	Hemoglobin concentration	BC	801305	0	801305	Trans-ethnic (EUR, AFR, EAS, SAS, HA)	0	Y
HBC_Ferreira_19853236_1	1332	1.25590861106714e-20	PC10 (9e-15)	Ferreira	2009	19853236	HBC	Hemoglobin concentration	BC	6015	0	6015	European (Dutch + Australian)	1.60828584726583e-20	Y
HBC_Kanai_29403010_1	1515	3.77546008212474e-96	PC10 (3e-55)	Kanai	2018	29403010	HBC	Hemoglobin concentration	BC	108769	0	108769	East Asian (Japanese)	5.89501661945793e-96	Y
HBC_Sakaue_doi1011012020102320213652_1	1562	5.97119553300014e-83	PC7 (8e-20)	Sakaue	2021	doi1011012020102320213652	HBC	Hemoglobin concentration	BC	152447	0	152447	East Asian (Japanese)	9.16269659374159e-83	Y
HBC_Vuckovic_32888494_1	1661	0	PC7 (0e+00)	Vuckovic	2020	32888494	HBC	Hemoglobin concentration	BC	408112	0	408112	European (UK, UKBB)	0	Y
HBDCAN_Sakaue_doi1011012020102320213652_1	1560	0.290544058509952	PC1 (4e-02)	Sakaue	2021	doi1011012020102320213652	HBDCAN	Cancer of hepatic bile ducts	CAN	159201	418	159619	East Asian (Japanese)	0.732574462556996	N
HBEGF_Folkersen_33067605_1	1661	1.65025505450826e-17	PC8 (6e-10)	Folkersen	2020	33067605	HBEGF	Proheparin-binding EGF-like growth factor (HB-EGF) levels	BMK	21758	0	21758	European	1.37431076670524e-16	Y
HBVCAIGG_Scepanovic_30053915_1	1655	0.415335822045593	PC1 (1e-02)	Scepanovic	2018	30053915	HBVCAIGG	Anti-hepatitis B virus core antigen IgG measurement	BMK	15	0	15	European (France)	0.722585552009447	N
HBVCA_Scepanovic_30053915_1	1647	0.123579382166753	PC9 (3e-02)	Scepanovic	2018	30053915	HBVCA	Hepatitis B virus core antigen seropositivity	INF	985	15	1000	European (France)	0.623781643317896	N
HBVSAIGG_Scepanovic_30053915_1	1655	0.370115206175048	PC10 (3e-02)	Scepanovic	2018	30053915	HBVSAIGG	Anti-hepatitis B virus surface antigen IgG measurement	BMK	508	0	508	European (France)	0.6812265389019	N
HBVSA_Scepanovic_30053915_1	1655	0.366934598310254	PC3 (1e-02)	Scepanovic	2018	30053915	HBVSA	Hepatitis B virus surface antigen seropositivity	INF	492	508	1000	European (France)	0.834951458058846	N
HDLC_Sakaue_doi1011012020102320213652_1	1562	0.217407978633044	PC7 (1e-01)	Sakaue	2021	doi1011012020102320213652	HDLC	HDL-cholesterol levels	BMK	74970	0	74970	East Asian (Japanese)	0.476048504937872	N
HDL_SinnottArmstrong_33462484_1	1640	8.85969080541978e-77	PC8 (1e-27)	SinnottArmstrong	2021	33462484	HDL	HDL cholesterol levels	BMK	332323	0	332323	Trans-ethnic	2.04578314961511e-75	Y
HEADIN_Sakaue_doi1011012020102320213652_1	1560	0.594601014005565	PC11 (1e-01)	Sakaue	2021	doi1011012020102320213652	HEADIN	Head injury	OTH	176286	2440	178726	East Asian (Japanese)	0.878509606278492	N
HEARL_Sakaue_doi1011012020102320213652_1	1560	0.773593426469843	PC11 (8e-02)	Sakaue	2021	doi1011012020102320213652	HEARL	Hearing loss, difficulty in hearing	OTH	175326	3400	178726	East Asian (Japanese)	0.930446498370853	N
HEIGHT_Sakaue_doi1011012020102320213652_1	1562	0.00107051282923863	PC9 (8e-02)	Sakaue	2021	doi1011012020102320213652	HEIGHT	Height	OTH	165056	0	165056	East Asian (Japanese)	0.0409649575988649	N
HELPIGG_Scepanovic_30053915_1	1655	0.99308557369022	PC1 (4e-01)	Scepanovic	2018	30053915	HELPIGG	Anti-Helicobacter pylori serum IgG measurement	BMK	175	0	175	European (France)	1	N
HELP_Scepanovic_30053915_1	1655	0.12749908227578	PC9 (2e-03)	Scepanovic	2018	30053915	HELP	Helicobacter pylori seropositivity	INF	825	175	1000	European (France)	0.628600126568962	N
HEMAT_Chen_32888493_1	1661	1.60889039038525e-10	PC10 (1e-13)	Chen	2020	32888493	HEMAT	Hematocrit	BC	8546	0	8546	African	1.80114773263254e-10	Y
HEMAT_Chen_32888493_2	1661	0	PC7 (0e+00)	Chen	2020	32888493	HEMAT	Hematocrit	BC	613309	0	613309	European (Inc. UKBB)	0	Y
HEMAT_Chen_32888493_4	1660	2.94615139813845e-24	PC10 (3e-21)	Chen	2020	32888493	HEMAT	Hematocrit	BC	9301	0	9301	Latin American (Hispanic American / Latinos)	3.82784634210689e-24	Y
HEMAT_Chen_32888493_5	1661	0	PC7 (0e+00)	Chen	2020	32888493	HEMAT	Hematocrit	BC	788797	0	788797	Trans-ethnic (EUR, AFR, EAS, SAS, HA)	0	Y
HEMAT_Chen_32888493_6	1661	1.64554931058743e-181	PC10 (2e-157)	Chen	2020	32888493	HEMAT	Hematocrit	BC	788797	0	788797	Trans-ethnic (EUR, AFR, EAS, SAS, HA)	2.68722731453727e-181	Y
HEMAT_Ferreira_19853236_1	1332	8.52663381927676e-18	PC10 (2e-20)	Ferreira	2009	19853236	HEMAT	Hematocrit	BC	6015	0	6015	European (Dutch + Australian)	1.03954850673374e-17	Y
HEMAT_Sakaue_doi1011012020102320213652_1	1562	5.91297406437147e-79	PC10 (1e-08)	Sakaue	2021	doi1011012020102320213652	HEMAT	Hematocrit	BC	153015	0	153015	East Asian (Japanese)	8.99580669622326e-79	Y
HEMAT_Vuckovic_32888494_1	1661	0	PC7 (0e+00)	Vuckovic	2020	32888494	HEMAT	Hematocrit	BC	408112	0	408112	European (UK, UKBB)	0	Y
HEPA_Sakaue_doi1011012020102320213652_1	1560	0.422647801101973	PC2 (1e-01)	Sakaue	2021	doi1011012020102320213652	HEPA	Hepatitis A	INF	166603	261	166864	East Asian (Japanese)	0.857161291992889	N
HEPA_Tian_28928442_1	1661	0.558623894882965	PC10 (6e-02)	Tian	2017	28928442	HEPA	Hepatitis A	INF	217137	2442	219579	European	0.865134898048492	N
HEPB_Kubo_BBJ_1	1556	0.905241259194444	PC14 (2e-01)	Kubo	2020	BBJ	HEPB	Hepatitis B	INF	211059	1394	212453	East Asian (Japanese)	0.97671900412642	N
HEPB_Tian_28928442_1	1661	0.0026007324641477	PC14 (2e-03)	Tian	2017	28928442	HEPB	Hepatitis B	INF	218180	1425	219605	European	0.0717336700242267	N
HEPCAN_Sakaue_doi1011012020102320213652_1	1560	0.678127505320291	PC9 (7e-02)	Sakaue	2021	doi1011012020102320213652	HEPCAN	Hepatic cancer	CAN	159201	2122	161323	East Asian (Japanese)	0.917942045462251	N
HEPC_Kubo_BBJ_1	1556	0.838943577545564	PC1 (2e-01)	Kubo	2020	BBJ	HEPC	Hepatitis C	INF	206659	5794	212453	East Asian (Japanese)	0.964009729998871	N
HERPES_Sakaue_doi1011012020102320213652_1	1560	0.47496830251494	PC12 (8e-02)	Sakaue	2021	doi1011012020102320213652	HERPES	Herpes infection	INF	166603	772	167375	East Asian (Japanese)	0.857161291992889	N
HGF_AholaOlli_27989323_1	1660	0.00364835685194341	PC8 (3e-06)	AholaOlli	2017	27989323	HGF	Hepatocyte growth factor (HGF, SF) levels	BMK	8292	0	8292	European (Finnish)	0.0150680104129045	N
HGF_Folkersen_33067605_1	1661	9.36771386012556e-07	PC8 (2e-06)	Folkersen	2020	33067605	HGF	Hepatocyte growth factor (HGF, SF) levels	BMK	21758	0	21758	European	6.18025797525167e-06	Y
HGF_Hoglund_31727947_1	1660	0.791020570826419	PC6 (1e-01)	Hoglund	2020	31727947	HGF	Hepatocyte growth factor (HGF, SF) levels	BMK	832	0	832	European (Swedish)	1	N
HGF_Hoglund_31727947_2	1660	0.465516514659103	PC2 (1e-01)	Hoglund	2020	31727947	HGF	Hepatocyte growth factor (HGF, SF) levels	BMK	924	0	924	European (Swedish)	0.785655778893104	N
HGF_Reales_up_1	1660	0.00179642745903398	PC8 (2e-06)	Reales	2020	up	HGF	Hepatocyte growth factor (HGF, SF) levels	BMK	9216	0	9216	European (Finnish + Swedish)	0.00807597477158639	Y
HHV6IE1AAB_ButlerLaporte_33204752_1	1659	0.667240908530914	PC9 (1e-01)	ButlerLaporte	2020	33204752	HHV6IE1AAB	Human herpes virus 6 IE1A antibody levels	BMK	6968	0	6968	European (UK)	0.976825307013557	N
HHV6IE1AIGG_ButlerLaporte_33204752_1	1659	0.849098174605897	PC1 (3e-02)	ButlerLaporte	2020	33204752	HHV6IE1AIGG	Anti-human herpes virus 6 IE1A IgG seropositivity	BMK	8735	0	8735	European (UK)	1	N
HHV6IE1BAB_ButlerLaporte_33204752_1	1659	0.98720567925378	PC14 (2e-01)	ButlerLaporte	2020	33204752	HHV6IE1BAB	Human herpes virus 6 IE1B antibody levels	BMK	7119	0	7119	European (UK)	1	N
HHV6IE1BIGG_ButlerLaporte_33204752_1	1659	0.917190938721161	PC1 (2e-01)	ButlerLaporte	2020	33204752	HHV6IE1BIGG	Anti-human herpes virus 6 IE1B IgG seropositivity	BMK	8735	0	8735	European (UK)	1	N
HHV6IGG_ButlerLaporte_33204752_1	1659	0.401658089474372	PC1 (2e-02)	ButlerLaporte	2020	33204752	HHV6IGG	Anti-human herpes virus 6 IgG seropositivity	BMK	8735	0	8735	European (UK)	0.713434648436996	N
HHV6P101KAB_ButlerLaporte_33204752_1	1659	0.956299493896784	PC4 (1e-01)	ButlerLaporte	2020	33204752	HHV6P101KAB	Human herpes virus 6 p101k antibody levels	BMK	1951	0	1951	European (UK)	1	N
HHV7IGG_ButlerLaporte_33204752_1	1659	0.819631202617396	PC1 (2e-01)	ButlerLaporte	2020	33204752	HHV7IGG	Anti-human herpes virus 7 IgG seropositivity	BMK	8735	0	8735	European (UK)	1	N
HHV7U14AB_ButlerLaporte_33204752_1	1659	0.0463873725924507	PC11 (1e-02)	ButlerLaporte	2020	33204752	HHV7U14AB	Human herpes virus 7 U14 antibody levels	BMK	8528	0	8528	European (UK)	0.143687715103445	N
HIGC_OConnor_31189108_1	1661	0.880241559272192	PC11 (1e-01)	OConnor	2019	31189108	HIGC	Haemophilus influenzae type b polyribosylribitol phosphate (PRP)-specific IgG concentrations	BMK	2601	0	2601	European	1	N
HMGCOARINH_Sakaue_doi1011012020102320213652_1	1560	0.0159876324101848	PC12 (4e-02)	Sakaue	2021	doi1011012020102320213652	HMGCOARINH	HMG CoA reductase inhibitors	OTH	145431	33295	178726	East Asian (Japanese)	0.206222494459462	N
HP01_Wang_30092202_1	1621	1	PC2 (9e-01)	Wang	2018	30092202	HP01	Cells ml after 3 days (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP02_Wang_30092202_1	1621	1	PC7 (9e-01)	Wang	2018	30092202	HP02	Chlamydia 27hr cell death BG subtracted (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP03_Wang_30092202_1	1621	1	PC7 (1e+00)	Wang	2018	30092202	HP03	Chlamydia 27hr GFP (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP04_Wang_30092202_1	1621	1	PC11 (9e-01)	Wang	2018	30092202	HP04	Chlamydia 27hr medianGFP (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP05_Wang_30092202_1	1621	1	PC8 (9e-01)	Wang	2018	30092202	HP05	Chlamydia 46hr GFP (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP06_Wang_30092202_1	1621	1	PC6 (9e-01)	Wang	2018	30092202	HP06	Chlamydia 46hr highGFP (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP07_Wang_30092202_1	1621	1	PC8 (9e-01)	Wang	2018	30092202	HP07	Chlamydia 70hr cell death BG sub (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP08_Wang_30092202_1	1621	1	PC12 (1e+00)	Wang	2018	30092202	HP08	Chlamydia 70hr GFP (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP09_Wang_30092202_1	1621	1	PC8 (9e-01)	Wang	2018	30092202	HP09	Chlamydia 70hr median GFP (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP10_Wang_30092202_1	1621	1	PC10 (9e-01)	Wang	2018	30092202	HP10	Chlamydia Intercellular Spread 70hr 27hr GFP (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP11_Wang_30092202_1	1621	1	PC11 (1e+00)	Wang	2018	30092202	HP11	Chlamydia Replication Permisiveness high GFP 46hr total GFP 27hr (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP12_Wang_30092202_1	1621	1	PC9 (1e+00)	Wang	2018	30092202	HP12	FGF2 Candida (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP13_Wang_30092202_1	1621	1	PC2 (9e-01)	Wang	2018	30092202	HP13	FGF2 Mucor (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP14_Wang_30092202_1	1621	1	PC6 (1e+00)	Wang	2018	30092202	HP14	FGF2 Uninfected (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP15_Wang_30092202_1	1621	1	PC3 (9e-01)	Wang	2018	30092202	HP15	IFNA2 Chlamydia (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP16_Wang_30092202_1	1621	1	PC9 (1e+00)	Wang	2018	30092202	HP16	IFNA2 Uninfected (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP17_Wang_30092202_1	1621	1	PC8 (1e+00)	Wang	2018	30092202	HP17	IFNG Chlamydia (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP18_Wang_30092202_1	1621	1	PC10 (9e-01)	Wang	2018	30092202	HP18	IFNG Uninfected (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP19_Wang_30092202_1	1621	1	PC5 (1e+00)	Wang	2018	30092202	HP19	IL10 Chlamydia (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP20_Wang_30092202_1	1621	1	PC8 (9e-01)	Wang	2018	30092202	HP20	IL10 S typhimurium (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP21_Wang_30092202_1	1621	1	PC13 (9e-01)	Wang	2018	30092202	HP21	IL10 Uninfected ELISA (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP22_Wang_30092202_1	1621	1	PC2 (1e+00)	Wang	2018	30092202	HP22	IL10 Uninfected Luminex (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP23_Wang_30092202_1	1621	1	PC8 (9e-01)	Wang	2018	30092202	HP23	IL12P70 Chlamydia (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP24_Wang_30092202_1	1621	1	PC1 (9e-01)	Wang	2018	30092202	HP24	IL12P70 Uninfected (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP25_Wang_30092202_1	1621	1	PC11 (9e-01)	Wang	2018	30092202	HP25	IL13 Chlamydia (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP26_Wang_30092202_1	1621	1	PC11 (9e-01)	Wang	2018	30092202	HP26	IL13 Uninfected (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP27_Wang_30092202_1	1621	1	PC5 (9e-01)	Wang	2018	30092202	HP27	IL1RA Chlamydia (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
HP28_Wang_30092202_1	1621	1	PC3 (1e+00)	Wang	2018	30092202	HP28	IL1RA Uninfected (H2P2 Project)	BMK	528	0	528	Trans-ethnic	1	N
